Tabella: PM10 - Andamento della concentrazione (microgrammi/metro cubo) media annuale, per stazione di misura (2010-2024);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
ZONA;PROVINCIA;COMUNE;STAZIONE;TIPOLOGIA;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Pianura ovest;Piacenza;Piacenza;PARCO MONTECUCCO;Fondo urbano;31;35;35;30;26;31;26;32;27;27;27;28;30;26;27
;;Lugagnano Val d'Arda;LUGAGNANO;Fondo suburbano;27;26;26;21;20;23;21;25;23;22;22;23;24;21;21
;;Piacenza;GIORDANI-FARNESE;Traffico urbano;34;37;36;31;29;36;30;36;30;30;29;31;31;26;29
;Parma;Parma;CITTADELLA;Fondo urbano;32;36;36;31;30;33;29;36;31;30;30;30;29;27;27
;;Colorno;SARAGAT;Fondo suburbano;27;34;31;28;27;30;27;33;28;28;28;28;30;25;26
;;Langhirano;BADIA;Fondo rurale;20;22;21;17;16;21;20;25;20;19;21;21;21;18;18
;;Parma;MONTEBELLO;Traffico urbano;33;42;45;37;35;36;29;35;32;30;28;28;30;27;28
;Reggio Emilia;Reggio Emilia;S. LAZZARO;Fondo urbano;32;35;34;27;24;29;28;33;28;27;27;26;29;24;24
;;Castellarano;CASTELLARANO;Fondo suburbano;30;31;29;25;23;27;26;32;26;24;25;26;27;23;24
;;Guastalla;S. ROCCO;Fondo rurale;32;37;34;29;28;32;28;34;30;29;30;27;29;26;26
;;Reggio Emilia;TIMAVO;Traffico urbano;38;41;41;35;33;37;33;40;35;32;32;33;35;30;30
;Modena;Sassuolo;PARCO EDILCARANI;Fondo urbano;24;30;31;26;23;27;25;30;26;25;26;26;27;23;24
;;Modena;MO - PARCO FERRARI;Fondo urbano;32;36;34;27;26;31;27;33;28;30;31;29;30;26;28
;;Carpi;REMESINA;Fondo suburbano;33;40;38;30;27;33;28;32;28;30;30;28;30;26;27
;;Modena;MO - VIA GIARDINI;Traffico urbano;38;40;38;31;28;33;30;36;32;33;33;33;36;30;30
;;Mirandola;GAVELLO;Fondo rurale;;;;;26;31;28;31;25;29;28;25;27;26;25
;;Fiorano Modenese;CIRC. SAN FRANCESCO;Traffico urbano;38;43;41;33;28;31;29;35;31;33;30;32;33;27;28
Agglomerato;Bologna;Bologna;GIARDINI MARGHERITA;Fondo urbano;24;29;26;19;;26;23;25;22;22;24;23;23;20;22
;;Bologna;VIA CHIARINI;Fondo suburbano;;31;29;24;22;26;24;28;24;25;22;21;25;21;20
;;Bologna;PORTA SAN FELICE;Traffico urbano;34;37;37;32;25;29;26;29;26;26;26;26;27;22;25
;;San Lazzaro di Savena;SAN LAZZARO;Traffico urbano;27;31;30;25;24;28;25;28;24;25;26;27;27;22;24
Pianura est;Bologna;Molinella;SAN PIETRO CAPOFIUME;Fondo rurale;25;30;28;23;21;26;22;27;23;24;26;22;23;21;23
;;Imola;DE AMICIS;Traffico urbano;27;30;29;23;21;25;23;25;23;23;25;22;26;22;24
;Ferrara;Ferrara;VILLA FULVIA;Fondo urbano;26;34;34;28;25;29;26;31;27;26;28;25;27;23;23
;;Cento;CENTO;Fondo suburbano;30;34;31;25;24;30;24;32;27;27;27;24;27;24;25
;;Iolanda di Savoia;GHERARDI;Fondo rurale;24;29;29;17;24;28;25;29;25;25;23;21;24;21;20
;;Ferrara;ISONZO;Traffico urbano;34;37;36;30;28;33;29;32;29;32;31;28;30;27;27
;Ravenna;Ravenna;CAORLE;Fondo urbano;31;36;34;27;25;30;25;28;26;26;26;22;25;23;24
;;Faenza;PARCO BUCCI;Fondo urbano;26;28;27;20;;24;;;;;;;;;
;;Faenza;PARCO BERTOZZI;Fondo urbano;;;;;;;21;24;22;24;24;22;24;22;23
;;Cervia;DELTA CERVIA;Fondo suburbano;26;30;29;25;23;27;25;26;25;26;27;24;27;25;24
;;Ravenna;ZALAMELLA;Traffico urbano;29;35;33;27;25;29;25;28;26;30;29;27;29;26;28
;Forlě-Cesena;Forlě;PARCO RESISTENZA;Fondo urbano;25;29;27;22;20;25;22;24;23;22;22;21;23;21;21
;;Cesena;FRANCHINI-ANGELONI;Fondo urbano;27;30;27;23;22;25;22;24;24;25;24;23;25;23;23
;;Savignano sul Rubicone;SAVIGNANO;Fondo suburbano;32;37;35;29;29;30;25;27;25;25;27;23;27;23;24
;;Forlě;ROMA;Traffico urbano;30;32;31;26;23;28;25;26;26;27;25;24;26;23;24
;Rimini;Rimini;MARECCHIA;Fondo urbano;31;35;33;27;27;31;27;29;23;29;27;25;27;24;25
;;Verucchio;VERUCCHIO;Fondo suburbano;20;24;23;19;18;21;19;22;19;19;19;18;20;18;19
;;Rimini;FLAMINIA;Traffico urbano;32;36;38;35;31;36;32;32;31;30;31;28;30;27;29
Appennino;Piacenza;Corte Brugnatella;CORTE BRUGNATELLA;Fondo rurale;;13;13;9;9;11;10;11;11;10;10;12;13;11;12
;Reggio Emilia;Febbio;FEBBIO;Fondo rurale;8;9;10;8;8;9;8;10;11;10;9;10;11;10;11
;Bologna;Alto Reno Terme;CASTELLUCCIO;Fondo rurale;;;11;9;9;10;9;10;10;10;10;10;11;9;10
;Forlě-Cesena;Sogliano al Rubicone;SAVIGNANO DI RIGO;Fondo rurale;;;13;11;10;13;12;11;12;12;12;12;13;12;13
;Rimini;San Leo;SAN LEO;Fondo rurale;;;;;;17;14;15;16;14;14;13;14;11;14
;;;;;;;;;;;;;;;;;;;
;;;;;;Limite normativo = 40 µg/m3;;;;;;;;;;;;;